DATE,population
1/1/2005,294768
2/1/2005,294955
3/1/2005,295149
4/1/2005,295359
5/1/2005,295582
6/1/2005,295824
7/1/2005,296077
8/1/2005,296338
9/1/2005,296606
10/1/2005,296857
11/1/2005,297089
12/1/2005,297311
1/1/2006,297526
2/1/2006,297734
3/1/2006,297950
4/1/2006,298170
5/1/2006,298401
6/1/2006,298653
7/1/2006,298910
8/1/2006,299178
9/1/2006,299452
10/1/2006,299710
11/1/2006,299950
12/1/2006,300178
1/1/2007,300398
2/1/2007,300608
3/1/2007,300823
4/1/2007,301045
5/1/2007,301278
6/1/2007,301528
7/1/2007,301790
8/1/2007,302064
9/1/2007,302334
10/1/2007,302590
11/1/2007,302834
12/1/2007,303062
1/1/2008,303280
2/1/2008,303494
3/1/2008,303707
4/1/2008,303926
5/1/2008,304157
6/1/2008,304396
7/1/2008,304646
8/1/2008,304903
9/1/2008,305158
10/1/2008,305403
11/1/2008,305620
12/1/2008,305827
1/1/2009,306035
2/1/2009,306237
3/1/2009,306438
4/1/2009,306645
5/1/2009,306863
6/1/2009,307090
7/1/2009,307322
8/1/2009,307570
9/1/2009,307826
10/1/2009,308071
11/1/2009,308289
12/1/2009,308495
1/1/2010,308706
2/1/2010,308904
3/1/2010,309095
4/1/2010,309289
5/1/2010,309485
6/1/2010,309691
7/1/2010,309913
8/1/2010,310146
9/1/2010,310385
10/1/2010,310612
11/1/2010,310820
12/1/2010,311020
1/1/2011,311204
2/1/2011,311373
3/1/2011,311551
4/1/2011,311740
5/1/2011,311935
6/1/2011,312147
7/1/2011,312372
8/1/2011,312605
9/1/2011,312842
10/1/2011,313060
11/1/2011,313260
12/1/2011,313454
1/1/2012,313636
2/1/2012,313811
3/1/2012,313993
4/1/2012,314176
5/1/2012,314368
6/1/2012,314576
7/1/2012,314796
8/1/2012,315031
9/1/2012,315264
10/1/2012,315485
11/1/2012,315692
12/1/2012,315877
1/1/2013,316038
2/1/2013,316191
3/1/2013,316357
4/1/2013,316535
5/1/2013,316729
6/1/2013,316934
7/1/2013,317156
8/1/2013,317397
9/1/2013,317635
10/1/2013,317864
11/1/2013,318076
12/1/2013,318276
1/1/2014,318464
2/1/2014,318642
3/1/2014,318827
4/1/2014,319020
5/1/2014,319225
6/1/2014,319438
7/1/2014,319670
8/1/2014,319919
9/1/2014,320166
10/1/2014,320403
11/1/2014,320616
12/1/2014,320815
1/1/2015,320997
2/1/2015,321164
3/1/2015,321344
4/1/2015,321538
5/1/2015,321740
6/1/2015,321954
7/1/2015,322186
8/1/2015,322427
9/1/2015,322670
10/1/2015,322901
11/1/2015,323113
12/1/2015,323318
1/1/2016,323509
2/1/2016,323687
3/1/2016,323871
4/1/2016,324061
5/1/2016,324260
6/1/2016,324476
7/1/2016,324697
8/1/2016,324924
9/1/2016,325155
10/1/2016,325368
11/1/2016,325562
12/1/2016,325742
1/1/2017,325901
2/1/2017,326050
3/1/2017,326207
4/1/2017,326371
5/1/2017,326548
6/1/2017,326743
7/1/2017,326939
8/1/2017,327140
9/1/2017,327342
10/1/2017,327528
11/1/2017,327699
12/1/2017,327848
1/1/2018,327969
2/1/2018,328085
3/1/2018,328219
4/1/2018,328364
5/1/2018,328521
6/1/2018,328692
7/1/2018,328863
8/1/2018,329040
9/1/2018,329216
10/1/2018,329379
11/1/2018,329527
12/1/2018,329659
1/1/2019,329766
2/1/2019,329862
3/1/2019,329977
4/1/2019,330103
5/1/2019,330240
6/1/2019,330393
7/1/2019,330553
8/1/2019,330729
9/1/2019,330904
10/1/2019,331066
11/1/2019,331213
12/1/2019,331345
1/1/2020,331443
2/1/2020,331525
3/1/2020,331634
4/1/2020,331684
5/1/2020,331685
6/1/2020,331728
7/1/2020,331795
8/1/2020,331870
9/1/2020,331950
10/1/2020,332025
11/1/2020,332063
12/1/2020,332047
1/1/2021,331992
2/1/2021,331968
3/1/2021,332007
4/1/2021,332073
5/1/2021,332144
6/1/2021,332231
7/1/2021,332358
8/1/2021,332489
9/1/2021,332594
10/1/2021,332692
11/1/2021,332790
12/1/2021,332876
1/1/2022,332918
2/1/2022,332959
3/1/2022,333056
4/1/2022,333184
5/1/2022,333317
6/1/2022,333460
7/1/2022,333624
8/1/2022,333799
9/1/2022,333976
10/1/2022,334141
11/1/2022,334287
12/1/2022,334420
1/1/2023,334533
2/1/2023,334637
3/1/2023,334753
4/1/2023,334880
5/1/2023,335013
6/1/2023,335163
7/1/2023,335329
8/1/2023,335329
9/1/2023,335359
10/1/2023,335360
11/1/2023,335363
12/1/2023,335363
1/1/2024,334933
2/1/2024,364637
3/1/2024,335753
4/1/2024,334680
5/1/2024,335053
6/1/2024,335173
7/1/2024,338329
8/1/2024,337729
9/1/2024,339359
10/1/2024,336360
11/1/2024,335863
12/1/2024,335763
1/1/2025,334663
2/1/2025,344637
3/1/2025,374753
4/1/2025,394880
